"
Nom du Dossier/ Numero de la fiche",LatLong,MRC,Eau Souterraine,Sol,etat ,Date de creation ou date de mise a jour
Corporation d'usinage Metro inc.,"45.5656695202
? -73.605535087",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1999
Q : > C",12/13/99
Corporation edifice 225,"45.5404017313
? -73.6535194595",Ville de Montreal,"Benzene, ethylbenzene, Fluoranthene, Hydrocarbures petroliers C10 a C50, Naphtalene, Phenanthrene, Toluene, Xylenes (o,m,p)","Benzene (pot), ethylbenzene (pot), Hydrocarbures petroliers C10 a C50, Methyl naphtalenes (chacun), Naphtalene (pot), Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 2012
Q : Non precisee",11/20/13
Corporation immobiliere Magil-Laurentienne,"45.4991673058
? -73.5621613947",Ville de Montreal,,"Cuivre (Cu), Nickel (Ni), Plomb (Pb), Zinc (Zn)",R : Non terminee,8/18/17
Corporation Immobiliere Timex,"45.5051855723
? -73.74444906",Ville de Montreal,,Produits petroliers*,R : Non terminee,6/6/02
Corporation Mainbourg,"45.6712313474
? -73.5092282402",Ville de Montreal,,"Benzo(a)anthracene, Benzo(a)pyrene, Benzo(b+j+k)fluoranthene, Fluoranthene, Hydrocarbures petroliers C10 a C50","R : Terminee en 2003
Q : Plage A-B",3/12/04
Corporation Mainbourg,"45.6713739005
? -73.4944440913",Ville de Montreal,,"Arsenic (As), Baryum (Ba), Cadmium (Cd), Cuivre (Cu), etain (Sn), Hydrocarbures petroliers C10 a C50, Methyl naphtalenes (chacun), Molybdene (Mo), Phenanthrene, Plomb (Pb), Zinc (Zn)",R : Non terminee,8/14/15
Corporation zone TGR,"45.4966518223
? -73.5541488903",Ville de Montreal,,"Cuivre (Cu), Hydrocarbures petroliers C10 a C50, Mercure (Hg), Plomb (Pb)",R : Non terminee,8/4/00
Corridor de pipelines de l'ancienne raffinerie BP (Petro-Canada) (Nord de Sherbrooke),"45.622721
? -73.555998",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 1994
Q : <= B",3/20/19
Corridor de pipelines de l'ancienne raffinerie BP (Petro-Canada) (Sud de Sherbrooke),"45.6101049205
? -73.5210647016",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Non necessaire
Q : Non precisee",3/20/19
Corridor de pipelines de Petro-Canada,"45.638297641
? -73.5126733777",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Hydrocarbures petroliers C10 a C50, Toluene (pot), Xylenes (o,m,p) (pot)",R : Non terminee,12/10/02
"Cote Sud de la rue Cabot, a l'ouest de Eadie","45.4653050265
? -73.5906542252",Ville de Montreal,,"Mercure (Hg), Plomb (Pb)","R : Non necessaire
Q : Non precisee",1/19/17
Couche-Tard,"45.5382722222
? -73.5658166667",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 2008
Q : > C",3/5/09
Couche-Tard inc.,"45.647302
? -73.512197",Ville de Montreal,,"Hydrocarbures petroliers C10 a C50, Xylenes (o,m,p) (pot)","R : Terminee en 2018
Q : <= C",2/14/19
Coulee Grou - Lot 1 875 025,"45.691109862
? -73.5014588858",Ville de Montreal,,Hydrocarbures aromatiques polycycliques*,"R : Non necessaire
Q : Non precisee",11/19/15
Cour Beaubien (chemin de fer Saint-Laurent & Hudson),"45.5274389072
? -73.6114037402",Ville de Montreal,,Hydrocarbures aromatiques polycycliques*,"R : Terminee en 2000
Q : Plage B-C",3/11/05
Cour de services de l'arrondissement d'Outremont,"45.5255130313
? -73.6177689232",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Metaux*",R : Non terminee,8/27/15
Cour de triage Sortin - Arr. Lachine a Montreal,"45.4512466787
? -73.6623187458",Ville de Montreal,"Hydrocarbures petroliers C10 a C50, Plomb (Pb), Zinc (Zn)","Arsenic (As), Cadmium (Cd), Cuivre (Cu), etain (Sn), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Manganese (Mn), Plomb (Pb), Zinc (Zn)",R : Non terminee,10/17/13
Cour de voirie Saint-Michel,"45.5666988642
? -73.6042368236",Ville de Montreal,Baryum (Ba),"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,4/29/22
Cour garderie du Y.M.C.A. Pointe-Saint-Charles,"45.4786083333
? -73.5525277778",Ville de Montreal,,"Benzo(a)anthracene, Benzo(a)pyrene, Benzo(b+j+k)fluoranthene, Benzo(c)phenanthrene, Benzo(g,h,i)perylene, Chrysene, Cuivre (Cu), Dibenzo(a,h)anthracene, Dibenzo(a,i)pyrene, Dibenzo(a,l)pyrene, Fluoranthene, Hydrocarbures petroliers C10 a C50, Indeno(1,2,3-cd)pyrene, Plomb (Pb), Pyrene","R : Terminee en 2006
Q : > B (Total)",10/15/13
Cour municipale,"45.5326361505
? -73.5915197802",Ville de Montreal,"Hydrocarbures aromatiques monocycliques*, Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,3/7/23
Cour municipale lot 3 105 681,"45.528484427
? -73.5985938451",Ville de Montreal,,"Cuivre (Cu), Hydrocarbures petroliers C10 a C50, Plomb (Pb), Zinc (Zn)",R : Non terminee,1/26/22
Cour turcot,"45.4573523381
? -73.6213422012",Ville de Montreal,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,5/27/15
Cours de Services Bercy,"45.5336327482
? -73.547033863",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Metaux*, Produits petroliers*","R : Terminee en 2004
Q : > B (Total)",9/26/17
"Cours Lafontaine, rue Anne-Hebert a Montreal","45.5860603859
? -73.5301126817",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Metaux*","R : Non necessaire
Q : Non precisee",2/6/17
CPE La Petite Station,"45.5461111111
? -73.6514166667",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Mercure (Hg)","R : Terminee en 2003
Q : <= B",8/1/05
Crown Cork & Seal Canada inc. (actuel 10000 rue Meilleur),"45.5394083333
? -73.6662527778",Ville de Montreal,Aluminium (Al),"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*, Phthalates (chacun)","R : Terminee en 2020
Q : <= B",7/4/22
CSDM ecole Glencoe,"45.5315881444
? -73.6919813777",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,R : Non terminee,8/14/00
CSDM ecole Saint-Antoine Marie Claret,"45.5796215454
? -73.6497180536",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,10/11/00
CSDM-ecole Sainte-Catherine-de-Sienne,"45.4611288648
? -73.6440463339",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Xylenes (o,m,p) (pot)",R : Non terminee,2/28/01
CSDM-Garage Lafontaine,"45.5242666816
? -73.5567996564",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Toluene (pot), Xylenes (o,m,p) (pot)",R : Non terminee,10/11/00
CSEM-ecole Mountainview,"45.4622075596
? -73.6584859577",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,R : Non terminee,12/12/02
CSEM-ecole Nazareth,"45.5197963313
? -73.594709799",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,R : Non terminee,7/30/01
CSEM-ecole St-John Bosco,"45.4555179737
? -73.5975556608",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,R : Non terminee,7/26/01
Dara Construction ltee,"45.4328228311
? -73.5985645676",Ville de Montreal,,"Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 1993
Q : Plage A-B",4/17/00
Decontamination eau souterraine,"45.4915224701
? -73.7627278949",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 2001
Q : Non precisee",2/28/05
Deitcher Brothers inc.,"45.4565195255
? -73.6140513632",Ville de Montreal,,"Cuivre (Cu), Hydrocarbures petroliers C10 a C50, Nickel (Ni), Plomb (Pb), Zinc (Zn)","R : Terminee en 1991
Q : Non precisee",6/29/99
"Demeures Sainte-Croix, Phase III inc. OBNL d'habitation","45.5175322911
? -73.6811817095",Ville de Montreal,,Hydrocarbures aromatiques polycycliques*,"R : Terminee en 2005
Q : Non precisee",11/21/05
Depot de neige usee,"45.6226470234
? -73.5792667139",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2000
Q : Plage B-C",1/25/05
Depot en vrac Esso,"45.465728672
? -73.5897469485",Ville de Montreal,Phenol,"Composes phenoliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 1994
Q : Plage B-C",1/19/17
Depot Petrolier - Compagnie Petroliere Imperiale,"45.4746827104
? -73.5766384825",Ville de Montreal,"Fluoranthene, Mercure total (Hg)","Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2015
Q : <= C",4/11/16
Develloppement residentiel,"45.5652976142
? -73.5987995592",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2006
Q : <= B",4/30/12
Developpement Bruxelles inc.,"45.5879538994
? -73.5090463304",Ville de Montreal,Manganese (Mn),"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2011
Q : Plage A-B",11/4/15
Developpement G.R. inc.,"45.5411030634
? -73.5980869974",Ville de Montreal,,Hydrocarbures aromatiques monocycliques * (pot),"R : Terminee en 2014
Q : <= B",7/28/14
Developpement Northcliffe inc. (Nettoyeur qualite plus - seul. comptoir),"45.4927194444
? -73.5690944444",Ville de Montreal,,"Benzene (pot), Benzo(a)anthracene, Benzo(a)pyrene, Benzo(b+j+k)fluoranthene, Benzo(g,h,i)perylene, Chlorure de vinyle (chloroethene) (pot), Chrysene, Dichloro-1,2 ethene (cis et trans) (pot), Hydrocarbures petroliers C10 a C50, Indeno(1,2,3-cd)pyrene, Tetrachloroethene (pot), Trichloroethylene (pot), Xylenes (o,m,p) (pot), Zinc (Zn)","R : Terminee en 2012
Q : <= B",10/4/12
Developpement residentiel sur la rue Laurendeau,"45.460456
? -73.588018",Ville de Montreal,"Hydrocarbures aromatiques monocycliques*, Hydrocarbures petroliers C10 a C50","Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2006
Q : Non precisee",4/24/06
Developpement Roccabella inc. - Phase I,"45.4966769917
? -73.5714053028",Ville de Montreal,"Hydrocarbures petroliers C10 a C50, Metaux*","Hydrocarbures aromatiques polycycliques*, Hydrocarbures chlores*",R : Non terminee,8/12/14
Developpement Roccabella inc. - Phase II et III,"45.4966769917
? -73.5714053028",Ville de Montreal,"Hydrocarbures petroliers C10 a C50, Metaux*","Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,8/12/14
Developpement Sherbrooke / St. Marc inc. Montreal - Arr. Ville-Marie,"45.494054133
? -73.5832974722",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,11/13/15
Developpement William inc.,"45.5518169514
? -73.5730009354",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures petroliers C10 a C50",R : Non terminee,9/29/11
Developpements des Bassins inc. (anc.Societe immobiliere du Canada CLC),"45.4901929133
? -73.562775624",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Metaux*","R : Terminee en 2012
Q : <= B",4/3/13
Developpements Immobiliers Lowney inc.,"45.4953472714
? -73.5598555401",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2012
Q : <= B",12/17/13
Developpements Lowney inc.,"45.4968655192
? -73.5741991029",Ville de Montreal,,"Benzo(a)anthracene, Benzo(a)pyrene, Benzo(b+j+k)fluoranthene, Chrysene, Cuivre (Cu), etain (Sn), Hydrocarbures petroliers C10 a C50, Methyl naphtalenes (chacun), Naphtalene (pot), Plomb (Pb), Pyrene","R : Terminee en 2010
Q : <= A",1/14/11
Developpements S sur le Square inc. (anc.Station-service Shell #C03012),"45.4900365223
? -73.5830407451",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2015
Q : <= B",2/15/16
deversement de Diesel a ICM,"45.5737632571
? -73.5778237665",Ville de Montreal,,,"R : Terminee en 2012
Q : Non precisee",5/16/13
Deversement d'huile a chauffage,"45.521228529
? -73.567280353",Ville de Montreal,,"Hydrocarbures petroliers C10 a C50, Methyl naphtalenes (chacun), Naphtalene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 2003
Q : Plage A-B",7/14/04
DEVEX INC - ( Ancien Poste Roy - 3840 rue Laval),"45.5179843162
? -73.5749692508",Ville de Montreal,,"Biphenyles polychlores (BPC), Hydrocarbures petroliers C10 a C50","R : Terminee en 1992
Q : Non precisee",10/1/18
Devmont (R5) inc.,"45.4978600926
? -73.6495739838",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2014
Q : <= B",4/30/14
Dîners-rencontre St-Louis-de-Gonzague,"45.534575
? -73.577832",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2008
Q : <= B",5/5/09
Distribution Servexcel inc.,"45.596166699
? -73.6217040918",Ville de Montreal,,Hydrocarbures aromatiques monocycliques * (pot),"R : Terminee en 2000
Q : > C",3/11/05
Dolce & Bianca,"45.6221210839
? -73.5970359639",Ville de Montreal,,,R : Non terminee,4/27/20
Dollard-Newman Plymouth Chrysler,"45.4309988396
? -73.6315983748",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1992
Q : Plage B-C",9/18/06
Domaine du Cloître Phase (secteur C),"45.44834716
? -73.5573229773",Ville de Montreal,"Hydrocarbures aromatiques polycycliques*, Sulfures (H2S)","Hydrocarbures aromatiques polycycliques*, Metaux*, Soufre total (S)",R : Non terminee,1/30/15
Domaine du Cloître Phase I (Secteur A),"45.44834716
? -73.5573229773",Ville de Montreal,"Fluoranthene, Hydrocarbures aromatiques polycycliques*, Sulfures (H2S)","Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*, Soufre total (S)","R : Terminee en 2006
Q : Non precisee",1/30/15
Domaine du Cloître Phase II (secteur B),"45.44834716
? -73.5573229773",Ville de Montreal,"Mercure total (Hg), Sulfures (H2S)","Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,3/24/17
Domaine Honda,"45.6418965696
? -73.5155605176",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1997
Q : <= C",8/4/00
Domfer Poudres Metalliques ltee,"45.4496311335
? -73.6062154576",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Zinc (Zn)","R : Terminee en 1996
Q : Plage B-C",3/17/17
Doncar (Canada) inc.,"45.5671065596
? -73.5333754539",Ville de Montreal,,"Cadmium (Cd), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Plomb (Pb)",R : Non terminee,2/22/10
Duc II inc.,"45.4808116644
? -73.5581811502",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Plomb (Pb)",R : Non terminee,11/11/16
Duplex residentiel,"45.5036666667
? -73.6305611111",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,8/9/05
Dynacast division J.& P. (Oats Canada inc.),"45.4628485763
? -73.7173612136",Ville de Montreal,,"Hydrocarbures petroliers C10 a C50, Zinc (Zn)","R : Terminee en 1991
Q : Non precisee",8/4/99
Dynamic Automotive inc.,"45.5886834768
? -73.6268912147",Ville de Montreal,,"ethylbenzene (pot), Hydrocarbures petroliers C10 a C50, Xylenes (o,m,p) (pot)","R : Terminee en 1996
Q : <= B",12/11/02
E.T. Construction ltee,"45.4992725766
? -73.6296844208",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1992
Q : <= B",5/1/17
Eaton inc. (entrepot),"45.4757735832
? -73.6956928295",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1990
Q : Non precisee",9/26/14
echangeur Decarie,"45.5033518759
? -73.6666339238",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1998
Q : > RESC",12/17/15
echangeur Decarie - MTQ,"45.5047268092
? -73.6663224119",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,8/25/15
eco-Centre Cote-des-Neiges,"45.5053177346
? -73.6388610025",Ville de Montreal,,"Hydrocarbures petroliers C10 a C50, Pentachlorophenol (PCP)","R : Terminee en 1999
Q : Plage B-C",3/3/05
eco-Centre Eadie,"45.4650637722
? -73.5884798855",Ville de Montreal,,"Arsenic (As), Cuivre (Cu), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Plomb (Pb), Zinc (Zn)","R : Terminee en 2000
Q : Plage B-C",10/27/09
ecocentre LaSalle,"45.4474270075
? -73.6264207083",Ville de Montreal,"Arsenic (As), Chrome total (Cr)","Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2010
Q : Plage B-C",3/23/11
eco-Centre Riviere-des-Prairies,"45.6399197908
? -73.560892976",Ville de Montreal,,"Cuivre (Cu), Hydrocarbures aromatiques polycycliques*","R : Terminee en 2002
Q : Plage B-C",9/26/03
ecole catholique LaSalle,"45.4282227651
? -73.6006396422",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,R : Non terminee,11/18/16
ecole Cedarcrest,"45.5264331835
? -73.6802501422",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,R : Non terminee,3/3/05
ecole Clement,"45.4313199354
? -73.6485969686",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,R : Non terminee,9/25/00
ecole Crawford Park,"45.4379160816
? -73.5874149012",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,R : Non terminee,3/3/05
ecole Daniel-Johnson,"45.6495820694
? -73.4975366629",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1992
Q : Non precisee",9/29/00
ecole de technologie superieure,"45.4937
? -73.5632",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2019
Q : <= C",6/10/20
ecole de Technologie Superieure - quadrilatere,"45.4956114647
? -73.5618867343",Ville de Montreal,,"Anthracene, Arsenic (As), Benzo(a)anthracene, Benzo(a)pyrene, Benzo(b+j+k)fluoranthene, Benzo(c)phenanthrene, Benzo(g,h,i)perylene, Chrysene, Cuivre (Cu), Dibenzo(a,h)anthracene, Dibenzo(a,h)pyrene, Fluoranthene, Hydrocarbures petroliers C10 a C50, Indeno(1,2,3-cd)pyrene, Manganese (Mn), Methyl naphtalenes (chacun), Naphtalene (pot), Phenanthrene, Pyrene, Xylenes (o,m,p) (pot)","R : Terminee en 2011
Q : <= B",7/11/17
ecole de technologie superieure (site C),"45.4948668861
? -73.5606085043",Ville de Montreal,,"Cuivre (Cu), Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Plomb (Pb), Zinc (Zn)","R : Terminee en 2003
Q : > C",7/11/17
ecole de technologie superieure (site E),"45.4945059071
? -73.5625401048",Ville de Montreal,,"Cuivre (Cu), Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Plomb (Pb), Zinc (Zn)","R : Terminee en 2003
Q : > C",7/11/17
ecole de Technologies Superieures,"45.4928048004
? -73.5632674934",Ville de Montreal,,"Baryum (Ba), Benzene (pot), Cuivre (Cu), etain (Sn), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Plomb (Pb), Xylenes (o,m,p) (pot), Zinc (Zn)","R : Terminee en 2011
Q : <= B",9/22/11
ecole de technologies Superieures,"45.4931642888
? -73.5640739379",Ville de Montreal,,"Baryum (Ba), Cuivre (Cu), etain (Sn), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Plomb (Pb), Zinc (Zn)","R : Terminee en 2007
Q : <= B",10/9/07
ecole des Cinq Continents,"45.4836111111
? -73.6383333333",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Produits petroliers*",R : Non terminee,4/10/03
ecole des metiers de l'automobile (CECM),"45.58348796
? -73.5500931216",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Hydrocarbures petroliers C10 a C50, Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 1992
Q : Non precisee",10/21/02
ecole des metiers de l'equipement motorise,"45.5296041693
? -73.5942472512",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,R : Non terminee,7/8/11
ecole Hassidique,"45.5201974588
? -73.6181096809",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1990
Q : Non precisee",7/19/99
ecole Herbert-Purcell,"45.502525
? -73.8455833333",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,R : Non terminee,12/11/03
ecole Internationale de Montreal,"45.4868252125
? -73.5957547188",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2003
Q : > RESC",9/25/15
ecole Jean-Baptiste-Meilleur,"45.5324699205
? -73.5576293505",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Metaux*",R : Non terminee,7/6/15
ecole Laurier,"45.5288294425
? -73.5883701737",Ville de Montreal,,"etain (Sn), Hydrocarbures aromatiques polycycliques*, Plomb (Pb), Zinc (Zn)",R : Non terminee,8/19/16
ecole Malcom Campbell,"45.5305555556
? -73.6941666667",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,R : Non terminee,12/18/03
"ecole Marie-Clarac, Secondaire","45.5919677402
? -73.6493151076",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1998
Q : <= B",6/5/03
ecole Marie-Rivier (CECM),"45.58348796
? -73.5500931216",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1992
Q : Non precisee",9/7/99
ecole Pierre-Dupuy,"45.5299895478
? -73.5570230616",Ville de Montreal,,Manganese (Mn),R : Non terminee,6/23/09
ecole secondaire Cavelier de LaSalle,"45.4180213044
? -73.6405123615",Ville de Montreal,,Hydrocarbures legers*,R : Non terminee,12/16/14
ecole secondaire Loyola (intersection Sherbrooke Est),"45.4567986189
? -73.6383582841",Ville de Montreal,,"Cuivre (Cu), Hydrocarbures petroliers C10 a C50","R : Terminee en 1993
Q : Non precisee",1/13/00
ecole Socrates III (Nord-Est du terrain),"45.505244806
? -73.8024071795",Ville de Montreal,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,1/17/17
ecole Socrates III (portion Sud),"45.505244806
? -73.8024071795",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 2001
Q : > C",1/17/17
ecole St-Fabien (CECM),"45.58348796
? -73.5500931216",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1992
Q : Non precisee",9/7/99
ecole St-Gregoire-le-Grand,"45.58348796
? -73.5500931216",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1992
Q : Non precisee",10/10/00
ecole Tetreaultville,"45.6026618243
? -73.5281637428",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1992
Q : Non precisee",11/12/02
ecole Thorndale,"45.475066181
? -73.860569145",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2001
Q : <= A",4/17/02
"edifice de la SHDM, quartier N-D-G","45.4640279719
? -73.6275703395",Ville de Montreal,,"Huiles et graisses totales*, Hydrocarbures petroliers C10 a C50","R : Terminee en 1994
Q : <= B",8/26/16
edifice residentiel (SHDM),"45.4916569363
? -73.6322641188",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,R : Non terminee,11/24/06
Eglise Sainte-Rita,"45.5544865905
? -73.658335273",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,3/3/08
"egout pluvial pour avenues Shipton Park, Waverly, Parc-Penhurst et Condover a Pte-Claire",,Ville de Montreal,,Hydrocarbures aromatiques polycycliques*,R : Non terminee,5/4/09
Elena Fugnitto Lafigliola,"45.5294219349
? -73.6371490766",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2013
Q : Plage A-B",3/11/14
ELIMETAL INC.,"45.4873583333
? -73.7293611111",Ville de Montreal,Metaux*,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2017
Q : <= C",5/29/18
emanuelle & Samy Vizzi,"45.5501476808
? -73.6145607526",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2002
Q : Plage A-B",9/19/02
Emballages Cascades P.A.T. inc. (1),"45.6867548479
? -73.4964106417",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1992
Q : Non precisee",2/25/10
Emballages Cascades P.A.T. inc. (2),"45.6867548479
? -73.4964106417",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2000
Q : > C",2/25/10
energie Valero inc.,"45.5841391903
? -73.5884456963",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Toluene (pot), Xylenes (o,m,p) (pot)",R : Non terminee,11/16/16
energie Valero inc.,"45.4410407833
? -73.6495601706",Ville de Montreal,"Baryum (Ba), Benzene, Hydrocarbures petroliers C10 a C50, Toluene, Xylenes (o,m,p)","Benzene (pot), ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Toluene (pot), Xylenes (o,m,p) (pot)",R : Non terminee,11/2/15
Enlevement d'un reservoir souterrain,"45.5075
? -73.6333333333",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2002
Q : <= B",4/11/03
Enlevement d'un reservoir souterrain,"45.4757735832
? -73.6956928295",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2001
Q : <= B",9/26/14
